TAG, NAME, DESCRIPTION
M,alsa-utils, utils for alsa
M,arandr, UI for xrandr for setup a monitor
M,acpi, needed for batteries script
M,alacritty, cool terminal
A,artix-dark-theme-git, nice dark gtk2/3 theme
M,blueman, UI for bluetooth (BT) manager
M,bluez, daemon for BT protocol
M,bluez-utils,
M,chromium, browser
M,cups, printing system
M,cups-pdf,
M,dunst, sends notification
M,dosfstools, for making FAT fs
M,figlet, makes large letters in terminal
M,firefox, browser
M,fzf, fuzzy finder
M,gimp, GIMP
M,gzip, GNU compression
M,hplip, drivers for HP
A,hplip-plugin,
M,htop, process viewer
M,ipython, interactive python shell
M,isync, sync email
A,lf, file manager
M,lynx, terminal browser
M,libreoffice-fresh, office
A,libra-dark-gtk-theme, nice theme for eyes
M,lxappearance, theme manager
M,lxsession, tool for polkit
A,librewolf-bin, private browser
M,maim, screenshot tool
M,mpc, music player
M,mpd, music player daemon
M,mpv, media player
M,msmtp, mail sender
M,ncmpcpp, terminal music player
M,neofetch, sys info tool
M,neovim, powerful text editor
M,newsboat, terminal RSS
M,network-manager-applet, applet for systray
M,nodejs, NodeJs
M,npm, NodeJs package manager
M,noto-fonts, fonts
M,noto-fonts-emoji, fonts
M,ntfs-3g, ntfs filesystem
M,ttf-dejavu,
M,ttf-font-awesome,
M,ttf-inconsolata,
M,ttf-jetbrains-mono,
M,ttf-linux-libertine,
M,pavucontrol, UI audiocontrol for pulse
M,pass, password manager
M,picom, composite manager
M,pulseaudio, pulseaudio
M,pulseaudio-alsa, for pulseaudio to manage ALSA
M,python-pywal, generates colors for X
M,ranger, file manager wirtten in python
M,rsync, great sync client
M,sxhkd, simple X htokey daemon
M,sxiv, image viewer
M,simple-scan, scanner gui for sane
A,simple-mtpfs, android mount
M,system-config-printer, printer config
M,thunderbird, email client
M,torbrowser-launcher, TOR
M,transmission-cli, torrent cli
M,unrar,
M,unzip,
M,unclutter, hides mouse
M,w3m, terminal web-browser
M,wmname, sets the root window name for running Java programs
M,wget,
M,sane, program for scanner
M,xclip, clipboard tool
M,xorg, X11
M,xorg-xinit,
M,xdg-utils,
M,xwallpaper, walls for X
M,youtube-dl, download vids and audio from YT
M,zathura, minimalist pdf viewer
M,zathura-djvu,
M,zathura-pdf-mupdf,
M,zsh, cool shell
